"","id","schid","tchid","tchexper","absent","readscore","mathscore","totalscore","boy","white_asian","black","tchwhite","tchmasters","freelunch","schurban","schrural","small","regular","aide"
"1",10133,169280,16928003,7,5,427,478,905,1,0,1,1,0,0,0,0,0,0,1
"2",10246,218562,21856202,8,28,450,494,944,0,1,0,1,1,0,1,0,0,0,1
"3",10263,205492,20549204,3,2,483,513,996,0,0,1,1,0,1,0,0,1,0,0
"4",10266,257899,25789904,12,10,456,513,969,1,1,0,1,1,0,0,1,0,1,0
"5",10275,161176,16117602,2,3,411,468,879,1,1,0,1,0,0,0,1,0,0,1
"6",10281,189382,18938204,7,2,443,473,916,1,1,0,1,1,0,0,0,1,0,0
"7",10282,189382,18938203,14,7,448,449,897,1,1,0,1,1,1,0,0,0,0,1
"8",10285,201449,20144901,4,8,463,520,983,0,1,0,1,1,1,0,1,1,0,0
"9",10286,230612,23061203,6,2,472,536,1008,1,1,0,1,1,0,0,1,0,1,0
"10",10287,128068,12806803,11,17,428,484,912,1,1,0,1,0,0,0,1,0,0,1
"11",10289,262937,26293701,16,8,545,626,1171,1,1,0,1,0,0,0,0,0,0,1
"12",10290,169219,16921902,12,0,408,454,862,1,0,1,1,1,0,0,0,0,1,0
"13",10291,169229,16922904,5,31,422,439,861,1,1,0,0,0,0,0,0,0,0,1
"14",10292,205491,20549104,17,7,472,528,1000,0,1,0,1,0,0,0,0,0,0,1
"15",10295,161176,16117604,6,20,437,463,900,0,1,0,1,0,1,0,1,1,0,0
"16",10299,168211,16821101,10,7,450,484,934,0,1,0,1,0,0,0,1,0,1,0
"17",10300,173312,17331203,13,2,497,547,1044,0,1,0,1,0,0,0,1,0,0,1
"18",10302,234628,23462803,9,19,460,576,1036,0,1,0,1,1,1,0,1,0,0,1
"19",10303,244831,24483102,18,24,408,449,857,1,1,0,0,0,0,0,0,0,1,0
"20",10308,189382,18938204,7,8,467,576,1043,1,1,0,1,1,0,0,0,1,0,0
"21",10311,253888,25388801,13,9,403,392,795,1,1,0,1,0,0,0,1,0,0,1
"22",10312,244755,24475504,1,7,411,444,855,1,0,1,0,0,0,1,0,0,1,0
"23",10313,218562,21856201,14,4,490,559,1049,1,1,0,1,1,1,1,0,1,0,0
"24",10316,262937,26293703,18,19,503,576,1079,0,1,0,1,1,0,0,0,1,0,0
"25",10319,244801,24480103,8,3,442,547,989,1,1,0,0,0,0,0,0,0,0,1
"26",10321,189396,18939602,4,4,443,484,927,0,1,0,1,0,1,0,1,0,1,0
"27",10322,212522,21252201,NA,15,403,459,862,0,1,0,0,0,0,1,0,0,0,1
"28",10323,253888,25388801,13,26,424,444,868,1,1,0,1,0,1,0,1,0,0,1
"29",10326,205491,20549104,17,6,413,459,872,0,1,0,1,0,0,0,0,0,0,1
"30",10329,262937,26293702,15,5,495,576,1071,0,1,0,1,1,0,0,0,0,1,0
"31",10330,262937,26293701,16,10,451,528,979,0,1,0,1,0,1,0,0,0,0,1
"32",10331,221571,22157103,13,3,413,468,881,0,0,1,1,1,1,0,1,0,1,0
"33",10332,205489,20548903,3,15,393,429,822,0,0,1,1,0,1,0,0,0,0,1
"34",10333,205491,20549104,17,13,398,444,842,0,1,0,1,0,0,0,0,0,0,1
"35",10334,218562,21856203,11,2,483,506,989,0,1,0,1,0,1,1,0,1,0,0
"36",10379,162184,16218404,2,1,431,500,931,0,1,0,1,0,0,0,1,1,0,0
"37",10381,244736,24473601,11,12,421,459,880,0,0,1,1,0,1,1,0,0,0,1
"38",10383,244818,24481802,10,7,419,468,887,0,0,1,0,1,1,1,0,1,0,0
"39",10384,244736,24473601,11,2,472,536,1008,0,0,1,1,0,1,1,0,0,0,1
"40",10386,244736,24473601,11,6,405,412,817,0,0,1,1,0,1,1,0,0,0,1
"41",10391,244796,24479603,21,4,416,439,855,0,0,1,0,0,1,1,0,1,0,0
"42",10395,162184,16218404,2,5,445,468,913,0,1,0,1,0,1,0,1,1,0,0
"43",10396,244796,24479603,21,6,428,489,917,0,0,1,0,0,1,1,0,1,0,0
"44",10424,244806,24480601,1,4,414,500,914,1,0,1,1,0,1,1,0,1,0,0
"45",10425,159171,15917101,10,8,467,489,956,0,0,1,1,0,1,0,1,0,0,1
"46",10432,169229,16922901,15,6,461,559,1020,1,1,0,1,1,0,0,0,1,0,0
"47",10433,162184,16218403,6,4,398,459,857,1,1,0,1,1,1,0,1,1,0,0
"48",10434,244723,24472301,17,3,400,399,799,0,0,1,1,1,1,1,0,0,0,1
"49",10473,244723,24472301,17,17,414,463,877,1,0,1,1,1,1,1,0,0,0,1
"50",10481,215533,21553303,6,7,433,489,922,1,1,0,1,1,0,0,1,1,0,0
"51",10485,169229,16922904,5,9,414,434,848,1,1,0,0,0,0,0,0,0,0,1
"52",10486,169229,16922903,13,7,451,506,957,1,1,0,1,1,1,0,0,0,1,0
"53",10489,244723,24472303,1,3,414,434,848,0,0,1,0,0,1,1,0,1,0,0
"54",10491,244806,24480602,20,5,485,536,1021,1,0,1,0,0,1,1,0,0,0,1
"55",10541,244755,24475502,7,23,397,434,831,1,0,1,1,0,1,1,0,0,0,1
"56",10726,244796,24479603,21,7,411,473,884,1,0,1,0,0,0,1,0,1,0,0
